,spp.num,alpha.code,name,spp,order
777,5220,WWCR,White-winged Crossbill,Loxia leucoptera,1145
778,5240,GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,1112
779,5250,BLRF,Black Rosy-Finch,Leucosticte atrata,1113
780,5260,BCRF,Brown-capped Rosy-Finch,Leucosticte australis,1114
781,5261,EUGO,European Goldfinch,Carduelis carduelis,1154
782,5262,ORGR,Oriental Greenfinch,Chloris sinica,1155
783,5270,HORE,Hoary Redpoll,Acanthis hornemanni,1147
784,5276,UNRE,Unidentified Common/Hoary Redpoll,hybrid,1148
785,5280,CORE,Common Redpoll,Acanthis flammea,1146
786,5290,AMGO,American Goldfinch,Spinus tristis,1153
787,5300,LEGO,Lesser Goldfinch,Spinus psaltria,1151
788,5310,LAGO,Lawrence's Goldfinch,Spinus lawrencei,1152
789,5321,RESI,Red Siskin,Spinus cucullatus,1150
790,5330,PISI,Pine Siskin,Spinus pinus,1149
791,5331,COCA,Common Canary,Serinus canaria,1157
792,5332,YFCA,Yellow-fronted Canary,Serinus mozambicus,1156
793,5340,SNBU,Snow Bunting,Plectrophenax nivalis,890
794,5350,MKBU,McKay's Bunting,Plectrophenax hyperboreus,891
795,5351,RUBU,Rustic Bunting,Emberiza rustica,1051
796,5352,LIBU,Little Bunting,Emberiza pusilla,1050
797,5353,GRBU,Gray Bunting,Emberiza variabilis,1052
798,5354,PALB,Pallas's Bunting,Emberiza pallasi,1053
799,5355,REBU,Reed Bunting,Emberiza schoeniclus,1054
800,5360,LALO,Lapland Longspur,Calcarius lapponicus,886
801,5370,SMLO,Smith's Longspur,Calcarius pictus,888
802,5380,CCLO,Chestnut-collared Longspur,Calcarius ornatus,887
803,5390,MCLO,McCown's Longspur,Rhynchophanes mccownii,889
804,5400,VESP,Vesper Sparrow,Pooecetes gramineus,1005
805,5410,IPSP,Ipswich Sparrow,Passerculus sandwichensis princeps,1015
806,5420,SAVS,Savannah Sparrow,Passerculus sandwichensis,1014
807,5430,BSSP,Belding's Savannah Sparrow,Passerculus sandwichensis beldingi,1016
808,5440,LBSP,Large-billed Sparrow,Passerculus sandwichensis rostratus,1017
809,5450,BAIS,Baird's Sparrow,Ammodramus bairdii,1020
810,5460,GRSP,Grasshopper Sparrow,Ammodramus savannarum,1018
811,5464,FGSP,Florida Grasshopper Sparrow,Ammodramus savannarum floridanus,1019
812,5470,HESP,Henslow's Sparrow,Ammodramus henslowii,1021
813,5480,LCSP,Le Conte's Sparrow,Ammodramus leconteii,1022
814,5490,SALS,Saltmarsh Sparrow,Ammodramus caudacutus,1024
815,5491,NESP,Nelson's Sparrow,Ammodramus nelsoni,1023
816,5499,STSP,Unidentified Sharp-tailed Sparrow,hybrid,1025
817,5500,SESP,Seaside Sparrow,Ammodramus maritimus,1026
818,5510,DSSP,Dusky Seaside Sparrow,Ammodramus maritimus nigrescens,1027
819,5511,CSSS,Cape Sable Seaside Sparrow,Ammodramus maritimus mirabilis,1028
820,5520,LASP,Lark Sparrow,Chondestes grammacus,1006
821,5530,HASP,Harris's Sparrow,Zonotrichia querula,1035
822,5540,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,1036
823,5541,EWCS,Eastern White-crowned Sparrow,Zonotrichia leucophrys leucophrys,1037
824,5546,MWCS,Mountain White-crowned Sparrow,Zonotrichia leucophrys oriantha,1038
825,5547,PSWS,Puget Sound White-crowned Sparrow,Zonotrichia leucophrys pugetensis,1039
826,5550,GWCS,Gambel's White-crowned Sparrow,Zonotrichia leucophrys gambelii,1040
827,5560,NWCS,Nuttall's White-crowned Sparrow,Zonotrichia leucophrys nuttalli,1041
828,5570,GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla,1042
829,5580,WTSP,White-throated Sparrow,Zonotrichia albicollis,1034
830,5581,RUFS,Rufous-collared Sparrow,Zonotrichia capensis,1033
831,5586,ZSHY,Zonotrichia Sparrow Hybrid,hybrid,1043
832,5590,ATSP,American Tree Sparrow,Spizella arborea,998
833,5600,CHSP,Chipping Sparrow,Spizella passerina,999
834,5610,CCSP,Clay-colored Sparrow,Spizella pallida,1000
835,5620,BRSP,Brewer's Sparrow,Spizella breweri,1001
836,5630,FISP,Field Sparrow,Spizella pusilla,1002
837,5640,WOSP,Worthen's Sparrow,Spizella wortheni,1003
838,5650,BCSP,Black-chinned Sparrow,Spizella atrogularis,1004
839,5660,WWJU,White-winged Junco,Junco hyemalis aikeni,1044
840,5670,SCJU,Slate-colored Junco,Junco hyemalis hyemalis,1045
841,5671,ORJU,Oregon Junco,Junco hyemalis oreganus,1046
842,5677,UDEJ,Unidentified Dark-eyed Junco,Junco hyemalis,1047
843,5690,GHJU,Gray-headed Junco,Junco hyemalis caniceps,1048
844,5700,YEJU,Yellow-eyed Junco,Junco phaeonotus,1049
845,5730,BTSP,Black-throated Sparrow,Amphispiza bilineata,1008
846,5740,USSP,Unspecified Sage Sparrow,hybrid,1010
847,5741,SCBS,San Clemente Bell's Sparrow,Artemisiospiza belli clementeae,1011
848,5742,FSSP,Five-striped Sparrow,Amphispiza quinquestriata,1007
849,5743,SBSP,Sagebrush Sparrow,Artemisiospiza nevadensis,1009
850,5744,BESP,Bell's Sparrow,Artemisiospiza belli,1012
851,5750,BACS,Bachman's Sparrow,Peucaea aestivalis,997
852,5760,BOSP,Botteri's Sparrow,Peucaea botterii,995
853,5780,CASP,Cassin's Sparrow,Peucaea cassinii,996
854,5790,RWSP,Rufous-winged Sparrow,Peucaea carpalis,994
855,5800,RCSP,Rufous-crowned Sparrow,Aimophila ruficeps,990
856,5810,SOSP,Song Sparrow,Melospiza melodia,1030
857,5830,LISP,Lincoln's Sparrow,Melospiza lincolnii,1031
858,5840,SWSP,Swamp Sparrow,Melospiza georgiana,1032
859,5850,FOSP,Fox Sparrow,Passerella iliaca,1029
860,5860,OLSP,Olive Sparrow,Arremonops rufivirgatus,983
861,5861,SAFI,Saffron Finch,Sicalis flaveola,982
862,5870,EATO,Eastern Towhee,Pipilo erythrophthalmus,986
864,5876,URST,Unidentified Rufous-sided Towhee,hybrid,987
865,5880,SPTO,Spotted Towhee,Pipilo maculatus,985
866,5900,GTTO,Green-tailed Towhee,Pipilo chlorurus,984
867,5906,HYTO,Hybrid Towhee,hybrid,988
868,5910,CANT,Canyon Towhee,Melozone fusca,991
869,5911,CALT,California Towhee,Melozone crissalis,992
870,5912,ICTO,Inyo California Towhee,Melozone crissalis eremophilus,989
871,5920,ABTO,Abert's Towhee,Melozone aberti,993
872,5922,RCCA,Red-crested Cardinal,Paroaria coronata,964
873,5923,YBCA,Yellow-billed Cardinal,Paroaria capitata,965
874,5930,NOCA,Northern Cardinal,Cardinalis cardinalis,1060
875,5940,PYRR,Pyrrhuloxia,Cardinalis sinuatus,1061
876,5950,RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,1063
877,5960,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,1064
878,5961,YEGR,Yellow Grosbeak,Pheucticus chrysopeplus,1062
879,5970,BLGR,Blue Grosbeak,Passerina caerulea,1066
880,5971,BLBU,Blue Bunting,Cyanocompsa parellina,1065
881,5980,INBU,Indigo Bunting,Passerina cyanea,1069
882,5986,ILBH,Indigo X Lazuli Bunting Hybrid,hybrid,1068
883,5990,LAZB,Lazuli Bunting,Passerina amoena,1067
884,6000,VABU,Varied Bunting,Passerina versicolor,1070
885,6010,PABU,Painted Bunting,Passerina ciris,1071
886,6020,WCSE,White-collared Seedeater,Sporophila torqueola,972
887,6021,PUEB,Puerto Rican Bullfinch,Loxigilla portoricensis,978
888,6022,LESB,Lesser Antillean Bullfinch,Loxigilla noctis,980
889,6030,BFGR,Black-faced Grassquit,Tiaris bicolor,976
890,6031,CUGR,Cuban Grassquit,Tiaris canorus,974
891,6032,YFGR,Yellow-faced Grassquit,Tiaris olivaceus,975
892,6040,DICK,Dickcissel,Spiza americana,1072
893,6050,LARB,Lark Bunting,Calamospiza melanocorys,1013
894,6061,ANEU,Antillean Euphonia,Euphonia musica,1111
895,6070,WETA,Western Tanager,Piranga ludoviciana,1058
896,6071,FCTA,Flame-colored Tanager,Piranga bidentata,1059
897,6080,SCTA,Scarlet Tanager,Piranga olivacea,1057
898,6090,HETA,Hepatic Tanager,Piranga flava,1055
899,6100,SUTA,Summer Tanager,Piranga rubra,1056
900,6101,WESP,Western Spindalis,Spindalis zena,967
901,6102,PRTA,Puerto Rican Tanager,Nesospingus speculiferus,966
902,6103,HISP,Hispaniolan Spindalis,Spindalis dominicensis,968
903,6104,PRSP,Puerto Rican Spindalis,Spindalis portoricensis,969
904,6105,JAMS,Jamaican Spindalis,Spindalis nigricephala,970
905,6110,PUMA,Purple Martin,Progne subis,739
906,6112,GBMA,Gray-breasted Martin,Progne chalybea,741
907,6113,CAMA,Caribbean Martin,Progne dominicensis,740
908,6120,CLSW,Cliff Swallow,Petrochelidon pyrrhonota,747
909,6121,CASW,Cave Swallow,Petrochelidon fulva,748
910,6130,BARS,Barn Swallow,Hirundo rustica,749
911,6140,TRES,Tree Swallow,Tachycineta bicolor,742
912,6150,VGSW,Violet-green Swallow,Tachycineta thalassina,743
913,6151,BAHS,Bahama Swallow,Tachycineta cyaneoviridis,744
914,6160,BANS,Bank Swallow,Riparia riparia,746
915,6170,NRWS,Northern Rough-winged Swallow,Stelgidopteryx serripennis,745
916,6180,BOWA,Bohemian Waxwing,Bombycilla garrulus,880
917,6190,CEDW,Cedar Waxwing,Bombycilla cedrorum,881
918,6200,PHAI,Phainopepla,Phainopepla nitens,884
919,6210,NSHR,Northern Shrike,Lanius excubitor,686
920,6211,BRSH,Brown Shrike,Lanius cristatus,683
921,6220,LOSH,Loggerhead Shrike,Lanius ludovicianus,684
926,6221,KAOO,Kauai Oo,Moho braccatus,882
927,6223,BIOO,Bishop's Oo,Moho bishopi,883
928,6226,JAWE,Japanese White-eye,Zosterops japonicus,798
929,6227,SLSH,San Clemente Loggerhead Shrike,Lanius ludovicianus mearnsi,685
930,6230,BWVI,Black-whiskered Vireo,Vireo altiloquus,705
931,6240,REVI,Red-eyed Vireo,Vireo olivaceus,703
932,6250,YGVI,Yellow-green Vireo,Vireo flavoviridis,704
933,6260,PHVI,Philadelphia Vireo,Vireo philadelphicus,702
934,6270,WAVI,Warbling Vireo,Vireo gilvus,701
935,6280,YTVI,Yellow-throated Vireo,Vireo flavifrons,695
936,6290,BHVI,Blue-headed Vireo,Vireo solitarius,698
937,6291,PLVI,Plumbeous Vireo,Vireo plumbeus,696
938,6292,CAVI,Cassin's Vireo,Vireo cassinii,697
939,6299,SOVI,Solitary Vireo,hybrid,699
940,6300,BCVI,Black-capped Vireo,Vireo atricapilla,693
941,6310,WEVI,White-eyed Vireo,Vireo griseus,687
942,6320,HUVI,Hutton's Vireo,Vireo huttoni,700
943,6330,BEVI,Bell's Vireo,Vireo bellii,691
